ZIP,PO_NAME,STATE,ZIP_TYPE,ZCTA_crosswalk
30330,Atlanta,GA,ZIP Code Area,30310
30331,Atlanta,GA,ZIP Code Area,30331
30336,Atlanta,GA,ZIP Code Area,30336
30375,Atlanta,GA,Post Office or large volume customer,30308
30364,Atlanta,GA,Post Office or large volume customer,30344
30377,Atlanta,GA,Post Office or large volume customer,30318
30378,Atlanta,GA,Post Office or large volume customer,30331
30380,Atlanta,GA,Post Office or large volume customer,30354
30357,Atlanta,GA,Post Office or large volume customer,30309
30354,Atlanta,GA,ZIP Code Area,30354
30363,Atlanta,GA,ZIP Code Area,30363
30353,Atlanta,GA,Post Office or large volume customer,30303
30398,Atlanta,GA,Post Office or large volume customer,30354
30355,Atlanta,GA,Post Office or large volume customer,30305
30384,Atlanta,GA,Post Office or large volume customer,30339
30368,Atlanta,GA,Post Office or large volume customer,30354
30361,Atlanta,GA,Post Office or large volume customer,30309
30358,Atlanta,GA,Post Office or large volume customer,30328
30291,Union City,GA,ZIP Code Area,30291
30304,Atlanta,GA,Post Office or large volume customer,30354
30306,Atlanta,GA,ZIP Code Area,30306
30289,Turin,GA,Post Office or large volume customer,30289
30302,Atlanta,GA,Post Office or large volume customer,30312
30310,Atlanta,GA,ZIP Code Area,30310
30311,Atlanta,GA,ZIP Code Area,30311
30308,Atlanta,GA,ZIP Code Area,30308
30303,Atlanta,GA,ZIP Code Area,30303
30297,Forest Park,GA,ZIP Code Area,30297
30301,Atlanta,GA,Post Office or large volume customer,30354
30305,Atlanta,GA,ZIP Code Area,30305
30290,Tyrone,GA,ZIP Code Area,30290
30307,Atlanta,GA,ZIP Code Area,30307
30296,Riverdale,GA,ZIP Code Area,30296
30298,Forest Park,GA,Post Office or large volume customer,30297
30370,Atlanta,GA,Post Office or large volume customer,30312
30371,Atlanta,GA,Post Office or large volume customer,30303
30374,Atlanta,GA,Post Office or large volume customer,30312
30388,Atlanta,GA,Post Office or large volume customer,30354
30392,Atlanta,GA,Post Office or large volume customer,30312
30385,Atlanta,GA,Post Office or large volume customer,30344
30394,Atlanta,GA,Post Office or large volume customer,30354
30369,Atlanta,GA,Post Office or large volume customer,30318
30396,Atlanta,GA,Post Office or large volume customer,30354
31169,Peachtree City,GA,Post Office or large volume customer,30269
31192,Atlanta,GA,Post Office or large volume customer,30349
31195,Atlanta,GA,Post Office or large volume customer,30318
31196,Atlanta,GA,Post Office or large volume customer,30318
31136,Atlanta,GA,Post Office or large volume customer,30336
31193,Atlanta,GA,Post Office or large volume customer,30303
31107,Atlanta,GA,Post Office or large volume customer,30306
31139,Atlanta,GA,Post Office or large volume customer,30339
31131,Atlanta,GA,Post Office or large volume customer,30331
31106,Atlanta,GA,Post Office or large volume customer,30306
31119,Atlanta,GA,Post Office or large volume customer,30319
30007,Marietta,GA,Post Office or large volume customer,30062
30060,Marietta,GA,ZIP Code Area,30060
30066,Marietta,GA,ZIP Code Area,30066
30065,Marietta,GA,Post Office or large volume customer,30062
30061,Marietta,GA,Post Office or large volume customer,30060
30062,Marietta,GA,ZIP Code Area,30062
30068,Marietta,GA,ZIP Code Area,30068
30077,Roswell,GA,Post Office or large volume customer,30075
30075,Roswell,GA,ZIP Code Area,30075
30115,Canton,GA,ZIP Code Area,30115
30104,Aragon,GA,ZIP Code Area,30104
30121,Cartersville,GA,ZIP Code Area,30121
30107,Ball Ground,GA,ZIP Code Area,30107
30102,Acworth,GA,ZIP Code Area,30102
30105,Armuchee,GA,ZIP Code Area,30105
30114,Canton,GA,ZIP Code Area,30114
30120,Cartersville,GA,ZIP Code Area,30120
30137,Emerson,GA,ZIP Code Area,30137
30138,Esom Hill,GA,Post Office or large volume customer,30125
30132,Dallas,GA,ZIP Code Area,30132
30129,Coosa,GA,Post Office or large volume customer,30165
30124,Cave Spring,GA,ZIP Code Area,30124
30125,Cedartown,GA,ZIP Code Area,30125
30123,Cassville,GA,Post Office or large volume customer,30120
30153,Rockmart,GA,ZIP Code Area,30153
30139,Fairmount,GA,ZIP Code Area,30139
30151,Nelson,GA,Post Office or large volume customer,30107
30143,Jasper,GA,ZIP Code Area,30143
30163,Rome,GA,Post Office or large volume customer,30161
30164,Rome,GA,Post Office or large volume customer,30164
30156,Kennesaw,GA,Post Office or large volume customer,30144
30144,Kennesaw,GA,ZIP Code Area,30144
30147,Lindale,GA,ZIP Code Area,30147
30152,Kennesaw,GA,ZIP Code Area,30152
30146,Lebanon,GA,Post Office or large volume customer,30115
30149,Mount Berry,GA,ZIP Code Area,30149
30142,Holly Springs,GA,Post Office or large volume customer,30115
30101,Acworth,GA,ZIP Code Area,30101
30090,Marietta,GA,Post Office or large volume customer,30060
30103,Adairsville,GA,ZIP Code Area,30103
30188,Woodstock,GA,ZIP Code Area,30188
30189,Woodstock,GA,ZIP Code Area,30189
30171,Rydal,GA,ZIP Code Area,30171
30173,Silver Creek,GA,ZIP Code Area,30173
30169,Canton,GA,Post Office or large volume customer,30114
30161,Rome,GA,ZIP Code Area,30161
30175,Talking Rock,GA,ZIP Code Area,30175
30165,Rome,GA,ZIP Code Area,30165
30183,Waleska,GA,ZIP Code Area,30183
30184,White,GA,ZIP Code Area,30184
30172,Shannon,GA,Post Office or large volume customer,30161
30162,Rome,GA,Post Office or large volume customer,30161
30178,Taylorsville,GA,ZIP Code Area,30178
30160,Kennesaw,GA,Post Office or large volume customer,30144
30177,Tate,GA,ZIP Code Area,30177
30145,Kingston,GA,ZIP Code Area,30145
30350,Atlanta,GA,ZIP Code Area,30350
30522,Cherry Log,GA,ZIP Code Area,30522
30536,Ellijay,GA,ZIP Code Area,30536
30513,Blue Ridge,GA,ZIP Code Area,30513
30540,Ellijay,GA,ZIP Code Area,30540
30541,Epworth,GA,ZIP Code Area,30541
30539,East Ellijay,GA,Post Office or large volume customer,30536
30719,Dalton,GA,Post Office or large volume customer,30721
30555,Mc Caysville,GA,ZIP Code Area,30555
30720,Dalton,GA,ZIP Code Area,30720
30711,Crandall,GA,ZIP Code Area,30711
30721,Dalton,GA,ZIP Code Area,30721
30707,Chickamauga,GA,ZIP Code Area,30707
30722,Dalton,GA,Post Office or large volume customer,30720
30710,Cohutta,GA,ZIP Code Area,30710
30703,Calhoun,GA,Post Office or large volume customer,30701
30708,Cisco,GA,ZIP Code Area,30708
30705,Chatsworth,GA,ZIP Code Area,30705
30701,Calhoun,GA,ZIP Code Area,30701
30751,Tennga,GA,ZIP Code Area,30751
30752,Trenton,GA,ZIP Code Area,30752
31150,Atlanta,GA,Post Office or large volume customer,30350
31144,Kennesaw,GA,Post Office or large volume customer,30144
30725,Flintstone,GA,ZIP Code Area,30725
30726,Graysville,GA,Post Office or large volume customer,30726
30735,Resaca,GA,ZIP Code Area,30735
30724,Eton,GA,Post Office or large volume customer,30705
30732,Oakman,GA,Post Office or large volume customer,30734
30730,Lyerly,GA,ZIP Code Area,30730
30750,Lookout Mountain,GA,ZIP Code Area,30750
31156,Atlanta,GA,Post Office or large volume customer,30328
30757,Wildwood,GA,ZIP Code Area,30757
30739,Rock Spring,GA,ZIP Code Area,30739
30728,La Fayette,GA,ZIP Code Area,30728
30733,Plainville,GA,ZIP Code Area,30733
30742,Fort Oglethorpe,GA,ZIP Code Area,30742
30740,Rocky Face,GA,ZIP Code Area,30740
30756,Varnell,GA,Post Office or large volume customer,30756
30753,Trion,GA,ZIP Code Area,30753
30731,Menlo,GA,ZIP Code Area,30731
30734,Ranger,GA,ZIP Code Area,30734
30738,Rising Fawn,GA,ZIP Code Area,30738
30736,Ringgold,GA,ZIP Code Area,30736
30747,Summerville,GA,ZIP Code Area,30747
30741,Rossville,GA,ZIP Code Area,30741
30755,Tunnel Hill,GA,ZIP Code Area,30755
30746,Sugar Valley,GA,ZIP Code Area,30746
30005,Alpharetta,GA,ZIP Code Area,30005
30004,Alpharetta,GA,ZIP Code Area,30004
30003,Norcross,GA,Post Office or large volume customer,30071
30019,Dacula,GA,ZIP Code Area,30019
30011,Auburn,GA,ZIP Code Area,30011
30010,Norcross,GA,Post Office or large volume customer,30092
30022,Alpharetta,GA,ZIP Code Area,30022
30009,Alpharetta,GA,ZIP Code Area,30009
30026,North Metro,GA,Post Office or large volume customer,30096
30028,Cumming,GA,ZIP Code Area,30028
30041,Cumming,GA,ZIP Code Area,30041
